lap_s,time,Lap Time,Lap Distance,Lap Number,Ground Speed,Throttle Pos,Brake Pos,CG Accel Longitudinal,Brake Torque FL,Brake Torque FR,Brake Torque RL,Brake Torque RR,Brake Temp FL,Brake Temp FR,Brake Temp RL,Brake Temp RR,Wheel Angular Speed FL,Wheel Angular Speed FR,Wheel Angular Speed RL,Wheel Angular Speed RR,Car Coord X,Car Coord Y,Car Coord Z,Car Pos Norm,Lap Invalidated,speed_ms,long_accel_ms2,front_brake_torque,rear_brake_torque,front_wheel_omega,rear_wheel_omega,front_brake_temp,rear_brake_temp
0.0,99.98,0.0492716185881763,4.711983664465356,7.0,287.46545350936054,100.0,0.0,0.0359501315695675,0.0,0.0,0.0,0.0,1159.1075007806646,1155.7448478836675,1046.034957406923,1045.372519295066,217.19116891830168,217.21017042437316,218.77492688116183,218.77492688116183,199.88779287089108,409.5250438626504,-8.61005641459001,0.3232434769701687,,79.85151486371126,0.35255035775669913,0.0,0.0,217.20066967133744,218.77492688116183,1157.426174332166,1045.7037383509946
0.033647529187303,100.0,0.0829191477754793,7.408223834284993,7.0,287.5789620653824,100.0,0.0,0.0519635767911133,0.0,0.0,0.0,0.0,1159.1075007806646,1155.7448478836675,1046.034957406923,1045.372519295066,217.22137439645772,217.30188736360756,218.83676377611005,218.83676377611005,199.65678190735449,406.87292887206297,-8.595383256169589,0.3232434769701687,0.0,79.88304501816178,0.5095886103385712,0.0,0.0,217.26163088003264,218.83676377611005,1157.426174332166,1045.7037383509946
0.06744105796793899,100.02,0.1167126765561153,10.13671768187358,7.0,287.68509967942657,100.0,0.0,0.0529381419811065,0.0,0.0,0.0,0.0,1158.742791918128,1155.3812052008823,1045.7517305244257,1045.0895401108967,217.2913491022147,217.3973866615631,218.9852213850168,218.9852213850168,199.42626255034867,404.2199427825725,-8.581053297072707,0.32352845309589734,,79.9125276887296,0.519145830059018,0.0,0.0,217.3443678818889,218.9852213850168,1157.0619985595051,1045.4206353176612
0.10057881434827509,100.04,0.1498504329364514,12.798360914386976,7.0,287.79021651728607,100.0,0.0,0.0421473859626457,0.0,0.0,0.0,0.0,1158.3780830555913,1155.0175625180968,1045.4685036419285,1044.8065609267273,217.39042316049424,217.47130844504204,219.04103042417077,219.04103042417077,199.1972694722004,401.5654978820925,-8.568468154122417,0.3238134292216259,,79.94172681035724,0.4133246625505794,0.0,0.0,217.43086580276815,219.04103042417077,1156.6978227868442,1045.137532284328
0.1331589503872847,100.06,0.182430568975461,15.425419282598932,7.0,287.8959284617388,100.0,0.0,0.0386080393842319,0.0,0.0,0.0,0.0,1158.0133741930545,1154.6539198353116,1045.1852767594314,1044.5235817425578,217.45326259530333,217.55548384855223,219.09028202505093,219.09028202505093,198.96967621532087,398.910114411631,-8.556255364636607,0.32409840534735457,,79.97109123937189,0.37861552942737775,0.0,0.0,217.50437322192778,219.09028202505093,1156.333647014183,1044.8544292509946
0.167540419725286,100.08,0.2168120383134623,18.187481197839084,7.0,287.99877589108826,100.0,0.0,0.03479780025467,0.0,0.0,0.0,0.0,1157.6486653305178,1154.2902771525262,1044.9020498769341,1044.2406025583884,217.59876086032028,217.68188720868903,219.18000314007224,219.18000314007224,198.74362346708668,396.2534333591606,-8.543778177869843,0.32438338147308315,,79.99965996974673,0.3412498478674595,0.0,0.0,217.64032403450466,219.18000314007224,1155.9694712415221,1044.5713262176614
0.19946903068791869,100.1,0.248740649276095,20.75252816402855,7.0,288.10600812056015,100.0,0.0,0.0309617289750036,0.0,0.0,0.0,0.0,1157.2839564679812,1153.926634469741,1044.6188229944369,1043.957623374219,217.6069765992096,217.6893364439215,219.15754213902545,219.15754213902545,198.51912820955792,393.5959180405378,-8.531222558673765,0.3246683575988118,,80.02944670015559,0.303630839452719,0.0,0.0,217.64815652156554,219.15754213902545,1155.6052954688612,1044.288223184328
0.23378469934056667,100.12,0.283056317928743,23.50958897623203,7.0,288.21105623321813,100.0,0.0,0.046989969223598,0.0,0.0,0.0,0.0,1156.913236561231,1153.557159457823,1044.3309043913405,1043.6697726487248,217.66928083103363,217.75114113447108,219.23764328096016,219.23764328096016,198.29657956387896,390.9370945772419,-8.51703679028074,0.32495858059014904,,80.05862673144948,0.4608141816865973,0.0,0.0,217.71021098275236,219.23764328096016,1155.235198009527,1044.0003385200328
0.26760666689978607,100.14,0.3168782854879624,26.226892262221178,7.0,288.30539720426583,100.0,0.0,0.0506030736520159,0.0,0.0,0.0,0.0,1156.5425166544808,1153.1876844459052,1044.042985788244,1043.3819219232305,217.78494900645728,217.86011865713797,219.43829741563684,219.43829741563684,198.07591667698907,388.2773154103988,-8.503983507717598,0.3252488035814863,,80.08483255674051,0.4962466322295417,0.0,0.0,217.8225338317976,219.43829741563684,1154.8651005501931,1043.7124538557375
0.3013839738761057,100.16,0.350655592464282,28.934692710742283,7.0,288.4074695677349,100.0,0.0,0.0515639268817878,0.0,0.0,0.0,0.0,1156.1717967477307,1152.8182094339872,1043.755067185148,1043.0940711977364,217.87600101532624,217.9622325316626,219.46105010989217,219.46105010989217,197.8568810152134,385.6162142909407,-8.491019133445175,0.3255390265728235,,80.11318599103747,0.5056693835552842,0.0,0.0,217.9191167734944,219.46105010989217,1154.495003090859,1043.424569191442
